"Measure","Subscale","N_Items","Alpha","CI_Lower","CI_Upper","Mean_r","N_Cases","Quality","Flags"
"BFI-10","Extraversion",2,"0.523","0.419","0.609","0.357",397,"FLAGGED","Only 2 items - alpha may be unreliable; Low reliability (α = 0.523); Poor reliability (α = 0.523)"
"BFI-10","Agreeableness",2,"0.432","0.308","0.534","0.276",397,"FLAGGED","Only 2 items - alpha may be unreliable; Low reliability (α = 0.432); Poor reliability (α = 0.432); Weak items: find_fault_rev, trusting; Ceiling effect (16.4%)"
"BFI-10","Conscientiousness",2,"0.444","0.323","0.544","0.293",397,"FLAGGED","Only 2 items - alpha may be unreliable; Low reliability (α = 0.444); Poor reliability (α = 0.444); Weak items: lazy_rev, thorough; Ceiling effect (34.0%)"
"BFI-10","Neuroticism",2,"0.482","0.369","0.575","0.317",397,"FLAGGED","Only 2 items - alpha may be unreliable; Low reliability (α = 0.482); Poor reliability (α = 0.482)"
"BFI-10","Openness",2,"0.147","-0.039","0.300","0.083",397,"FLAGGED","Only 2 items - alpha may be unreliable; Low reliability (α = 0.147); Poor reliability (α = 0.147); Low inter-item r (0.083); Weak items: few_interests_rev, imagination"
"SURPS","Impulsivity",5,"0.713","0.666","0.756","0.332",397,"GOOD","None"
"SURPS","Sensation Seeking",6,"0.608","0.545","0.665","0.208",397,"FLAGGED","Low reliability (α = 0.608); Weak items: surps3, surps16"
"SURPS","Hopelessness",7,"0.827","0.800","0.852","0.413",397,"GOOD","None"
"SURPS","Anxiety Sensitivity",5,"0.660","0.604","0.710","0.280",397,"FLAGGED","Low reliability (α = 0.660)"
"DBAS-16","Consequences",5,"0.806","0.775","0.835","0.462",397,"GOOD","None"
"DBAS-16","Worry/Helplessness",6,"0.745","0.704","0.782","0.326",397,"GOOD","None"
"DBAS-16","Expectations",2,"0.434","0.311","0.535","0.284",397,"FLAGGED","Only 2 items - alpha may be unreliable; Low reliability (α = 0.434); Poor reliability (α = 0.434); Weak items: dbas1, dbas_2"
"DBAS-16","Medication Beliefs",3,"0.473","0.376","0.556","0.224",397,"FLAGGED","Low reliability (α = 0.473); Poor reliability (α = 0.473); Weak items: dbas_13"
"DBAS-16","Total Score",16,"0.846","0.823","0.867","0.259",397,"FLAGGED","Negative inter-item correlation detected; Weak items: dbas_2, dbas_13"
"CISS","Task-Oriented Coping",7,"0.861","0.839","0.881","0.469",397,"GOOD","None"
"CISS","Emotion-Oriented Coping",7,"0.829","0.802","0.853","0.409",397,"GOOD","None"
"CISS","Avoidance Coping",7,"0.713","0.668","0.754","0.261",397,"FLAGGED","Weak items: ciss1"
